date,title,article,author,link
2019-04-30T16:38:58+00:00,Samsung 申請專利為推出遊戲訂閱服務作準備,"五月 1, 2019 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2019/05/01/playgalaxy-link-samsung-gaming-service/fun-tech/
2019-04-29T11:25:35+00:00,【unwire TV】【噢 ! 買Good !】無限手套充電器 試用,"四月 26, 2019 •,, ,  •,Tags: ,, ",chris,https://unwire.hk/2019/04/26/oh_my_good_infinity_gauntlet_power_bank/unwire_podcast/
2019-04-26T15:53:54+00:00,【評測】PS4《Days Gone》往日不再　 單人戰屍海＋華麗末日世界,"四月 26, 2019 •,, ,  •,Tags: ",Lawton,https://unwire.hk/2019/04/26/daysgonereview/game-channel/
2019-04-24T17:14:51+00:00,精工錶 x 日產 GT-R 推出限定版手錶,"四月 25, 2019 •,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2019/04/25/grand-seiko-nissan-gt-r-limited-edition-watch/life-tech/watch-wireless-home/
2019-04-06T06:28:33+00:00,Google 愚人節「貪食蛇」、斷線小遊戲「斷網小雲」齊推出,"四月 1, 2019 •,, ,, ,, ,, ,  •,Tags: ,, ,, ",TIFFS,https://unwire.hk/2019/04/01/googleeastereggsurprise/software/
2018-12-01T02:01:58+00:00,Samsung 投資遊戲開發商 Niantic   期望獲得獨家遊戲,"十二月 1, 2018 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2018/12/01/samsung-40-million-niantic-exclusive-games/mobile-phone/
2016-03-30T22:32:06+00:00,出 Trip 好幫手  智能行李喼 Raden,"四月 1, 2016 •,, ,  •,Tags: ",唐美鳳,https://unwire.hk/2016/04/01/raden-smart-luggage-case/life-tech/
2016-03-30T22:34:46+00:00,和 35 條鯊魚同眠  Airbnb 又有新房出租,"四月 1, 2016 •,, ,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2016/04/01/airbnb-paris-shark-tank/life-tech/
2016-05-29T22:34:16+00:00,唐言無忌：哪有錢！,"五月 30, 2016 •,, ,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2016/05/30/tong-no-money/column/
2016-05-18T10:58:01+00:00,機場著火又出煙..  18650 鋰電爆炸，到底係鴨記電點買好?,"五月 18, 2016 •,, ,  •,Tags: ",Redding,https://unwire.hk/2016/05/18/lithium-ion-battery-exploded-in-hong-kong-airport/parts/
2016-03-31T23:33:35+00:00,唐言無忌：別讓孩子輸在起跑線,"四月 1, 2016 •,, ,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2016/04/01/tong-play-and-learn/column/to-the-north/
2016-04-28T22:32:04+00:00,Ubuntu 手指電腦   插電視即時用得,"五月 1, 2016 •,, ,  •,Tags: ",唐美鳳,https://unwire.hk/2016/05/01/ubuntu-computer-stick/notebook/gadgets/
2016-05-01T03:40:49+00:00,符合國情？中國終審法院裁定皮具公司擁有 iPhone 商標,"五月 1, 2016 •,  •,Tags: ,, ",藍骨,https://unwire.hk/2016/05/01/apple-iphone-trademark/fun-tech/
2016-04-28T22:29:39+00:00,迪士尼用 Nokia VR 攝影機拍攝幕後花絮,"五月 1, 2016 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2016/05/01/nokia-ozo-disney/life-tech/
2016-05-01T04:04:22+00:00,一眨眼就影到相！Sony 申請相機隱形眼鏡專利,"五月 1, 2016 •,  •,Tags: ,, ",藍骨,https://unwire.hk/2016/05/01/sony-wants-to-put-a-camera-in-your-eye/dc/photogism/
2016-05-01T08:32:55+00:00,海底奇兵？史丹福大學開發人形潛水機械人,"五月 1, 2016 •,  •,Tags: ,, ",藍骨,https://unwire.hk/2016/05/01/stanford-team-ocean-one-human-robot/fun-tech/
2016-07-30T06:52:22+00:00,艾域評測 :  一貫易推 ! Campfire Audio Andromeda 五單元耳機,"七月 30, 2016 •,, ,, ,  •,Tags: ,, ,, ",艾域,https://unwire.hk/2016/07/30/campfire-audio-andromeda-5/mobile-music/headphones/
2016-09-20T10:24:01+00:00,專訪港版「鐵甲鋼拳 」　自製格鬥機械人打到瞓低識起番身　遙控格鬥機械人 T5 錘頭鯊,"九月 19, 2016 •,, ,  •,Tags: ,, ",阿瓜,https://unwire.hk/2016/09/19/tri-robot-interview/people-interview/
2016-06-12T16:39:44+00:00,微軟高層確認 Halo 5 將不在 PC 推出,"六月 12, 2016 •,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2016/06/12/halo-5-not-on-pc/game-channel/
2016-09-19T08:28:37+00:00,「旅行才是正經事招募計劃2016」比賽贏左請你免費去旅行遊亞洲！,"九月 19, 2016 •,, ,  •,Tags: ",芊風,https://unwire.hk/2016/09/19/klook-photo-contest/hottopic/walk/
2016-06-20T23:11:17+00:00,首部支援 Android 軟件 Chromebook 登場,"六月 21, 2016 •,  •",唐美鳳,https://unwire.hk/2016/06/21/chromebook-with-google-play-store/notebook/
2016-09-21T16:28:07+00:00,7大馬來西亞榴槤放題　貓山王及150年樹齡金絲貓都有得食,"九月 19, 2016 •,, ,  •,Tags: ,, ,, ,, ",依莉詩,https://unwire.hk/2016/09/19/durianbb-2/hottopic/food/
2016-07-30T07:47:58+00:00,台灣久久不能玩 Pokemon GO 是因為版權問題？,"七月 30, 2016 •,  •,Tags: ,, ",藍骨,https://unwire.hk/2016/07/30/pokemon-go-law-issue/game-channel/
2016-09-15T10:26:13+00:00,7 個唔去 AOS 及 IR 買 iPhone 的理由,"九月 15, 2016 •,, ,  •,Tags: ,, ,, ",arthur,https://unwire.hk/2016/09/15/3-hk-iphone7-offer/mobile-phone/
2016-06-19T21:13:11+00:00,Snapshot 變 Snapshort  自己泳褲自己設計,"六月 20, 2016 •,  •,Tags: ",唐美鳳,https://unwire.hk/2016/06/20/snapshot-become-snapshort/fun-tech/
2016-09-14T10:51:38+00:00,到底想點？Adblock Plus 推出「可接受廣告」平台去賣廣告,"九月 14, 2016 •,  •,Tags: ",Redding,https://unwire.hk/2016/09/14/adblock-plus-now-sells-acceptable-ads/software/
2016-09-08T12:19:22+00:00,依莉詩：「錶殼夠份量！」Michael Kors 智能腕錶 Access 系列 初步評測,"九月 8, 2016 •,, ,  •,Tags: ,, ,, ,, ,, ,, ",依莉詩,https://unwire.hk/2016/09/08/michaelkors/life-tech/watch-wireless-home/
2016-09-02T13:34:09+00:00,「小米支付」服務正式推出！暫時只得小米 5 手機可以使用,"九月 2, 2016 •,, ,  •,Tags: ",Redding,https://unwire.hk/2016/09/02/xiaomi-to-launch-mi-pay-in-china/mobile-phone/
2016-10-11T03:50:47+00:00,"手機變自拍神器　1,600 萬像素自拍無難度　Sony Xperia XA Ultra","九月 14, 2016 •,, ,  •,Tags: ",丫丫,https://unwire.hk/2016/09/14/sony-xperia-xa-ultra-selfie/mobile-phone/
2016-09-11T20:53:18+00:00,唐言無忌：如果我係 Samsung，Note7 電池事故點拆最好？,"九月 12, 2016 •,, ,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2016/09/12/tong-suggesting-note-7-problem-solution/column/
2016-09-02T13:25:44+00:00,4D動感戲院免費玩！Samsung Galaxy Studio再度登場太古城中心,"九月 2, 2016 •,  •,Tags: ,, ,, ",依莉詩,https://unwire.hk/2016/09/02/samsungstudio/hottopic/walk/
2016-09-04T22:37:05+00:00,羊咩咩成功爭取！法羅群島都有 Google 街景圖,"九月 5, 2016 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2016/09/05/google-street-view-coming-to-faroe-islands/fun-tech/
2016-10-07T08:40:12+00:00,挪威首相太沉迷《Pokemon GO》！國會上捉小精靈當場斷正,"十月 7, 2016 •,  •,Tags: ,, ",Redding,https://unwire.hk/2016/10/07/norway-prime-minister-caught-playing-pokemon-go-in-parliament/game-channel/
2016-10-09T10:59:25+00:00,中國公司開發「超級電池」，充滿一次電只需 3-5 分鐘,"十月 9, 2016 •,  •,Tags: ,, ,, ",藍骨,https://unwire.hk/2016/10/09/china-super-battery/fun-tech/
2016-09-30T17:46:32+00:00,馬哥：本週好工推介　觀塘急需大量 IT人！,"十月 1, 2016 •,  •",馬哥孛羅,https://unwire.hk/2016/10/01/marco2/news/
2016-09-30T21:32:48+00:00,法國 Hater 闖入 Apple Store 瘋狂破壞,"十月 1, 2016 •,  •,Tags: ",唐美鳳,https://unwire.hk/2016/10/01/french-hater-apple-store-vandelize/fun-tech/
2016-10-09T01:05:52+00:00,Kodak 再出智能手機  20/10 發表,"十月 9, 2016 •,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2016/10/09/kodak-new-smartphone-coming-next-week/mobile-phone/
2016-10-11T11:06:52+00:00,滑動解鎖功能惹禍！Samsung 被判侵犯 Apple 多項專利需賠償 1.196 億美元,"十月 11, 2016 •,  •,Tags: ,, ",Redding,https://unwire.hk/2016/10/11/apple-won-against-samsung-for-patent-infringement/mobile-phone/
